InterviewKey,CandidateKey,InterviewDateKey,InterviewStage,InterviewerKey,Outcome,Score,DurationMinutes,Notes
54,55,20231023,Onsite,54,Passed,90.81,84,Auto-generated interview note 54
55,56,20230613,Technical,55,Passed,79.28,85,Auto-generated interview note 55
56,57,20230401,PhoneScreen,56,Passed,71.07,86,Auto-generated interview note 56
57,58,20240609,Onsite,57,Passed,94.36,87,Auto-generated interview note 57
58,59,20250119,HR,58,NoShow,73.92,88,Auto-generated interview note 58
59,60,20250118,HR,59,Passed,97.81,89,Auto-generated interview note 59
60,61,20250627,Technical,60,Failed,96.1,90,Auto-generated interview note 60
61,62,20240902,HR,61,Passed,76.28,30,Auto-generated interview note 61
62,63,20230328,HR,62,Passed,78.02,31,Auto-generated interview note 62
63,64,20230908,PhoneScreen,63,Passed,62.29,32,Auto-generated interview note 63
64,65,20250428,HR,64,Passed,86.62,33,Auto-generated interview note 64
65,66,20250110,Technical,65,Failed,66.85,34,Auto-generated interview note 65
66,67,20250713,Onsite,66,Passed,63.87,35,Auto-generated interview note 66
67,68,20240720,HR,67,Passed,67.34,36,Auto-generated interview note 67
68,69,20250619,HR,68,Passed,94.89,37,Auto-generated interview note 68
69,70,20230616,Onsite,69,Passed,58.01,38,Auto-generated interview note 69
70,71,20241205,PhoneScreen,70,Failed,59.57,39,Auto-generated interview note 70
71,72,20250804,HR,71,Passed,85.1,40,Auto-generated interview note 71
72,73,20240720,Onsite,72,Passed,94.15,41,Auto-generated interview note 72
73,74,20250403,HR,73,Passed,76.98,42,Auto-generated interview note 73
74,75,20241019,HR,74,Passed,54.76,43,Auto-generated interview note 74
75,76,20240128,Technical,75,Failed,58.7,44,Auto-generated interview note 75
76,77,20241214,HR,76,Passed,78.81,45,Auto-generated interview note 76
77,78,20230526,PhoneScreen,77,Passed,54.41,46,Auto-generated interview note 77
78,79,20250703,Onsite,78,Passed,61.28,47,Auto-generated interview note 78
79,80,20230725,HR,79,Passed,70.28,48,Auto-generated interview note 79
80,81,20240629,Technical,80,Failed,79.43,49,Auto-generated interview note 80
81,82,20240816,Onsite,81,Passed,91.09,50,Auto-generated interview note 81
82,83,20230524,HR,82,Passed,81.57,51,Auto-generated interview note 82
83,84,20241021,HR,83,Passed,75.9,52,Auto-generated interview note 83
84,85,20230628,PhoneScreen,84,Passed,82.52,53,Auto-generated interview note 84
85,86,20240718,Technical,85,Failed,98.26,54,Auto-generated interview note 85
86,87,20230325,HR,86,Passed,82.37,55,Auto-generated interview note 86
87,88,20250511,Onsite,87,NoShow,70.42,56,Auto-generated interview note 87
88,89,20250902,HR,88,Passed,59.05,57,Auto-generated interview note 88
89,90,20240705,HR,89,Passed,76.26,58,Auto-generated interview note 89
90,91,20230405,Technical,90,Failed,93.85,59,Auto-generated interview note 90
91,92,20241017,PhoneScreen,91,Passed,79.32,60,Auto-generated interview note 91
92,93,20240124,HR,92,Passed,78.91,61,Auto-generated interview note 92
93,94,20250411,Onsite,93,Passed,79.28,62,Auto-generated interview note 93
94,95,20230507,HR,94,Passed,75.18,63,Auto-generated interview note 94
95,96,20231130,Technical,95,Failed,61.89,64,Auto-generated interview note 95
96,97,20240506,Onsite,96,Passed,50.45,65,Auto-generated interview note 96
97,98,20230615,HR,97,Passed,58.53,66,Auto-generated interview note 97
98,99,20250428,PhoneScreen,98,Passed,64.06,67,Auto-generated interview note 98
99,100,20230908,Onsite,99,Passed,94.57,68,Auto-generated interview note 99
100,101,20241001,Technical,100,Failed,56.42,69,Auto-generated interview note 100
101,102,20250519,HR,101,Passed,91.17,70,Auto-generated interview note 101
102,103,20230401,Onsite,102,Passed,78.91,71,Auto-generated interview note 102
103,104,20240326,HR,103,Passed,94.65,72,Auto-generated interview note 103
104,105,20240221,HR,104,Passed,98.66,73,Auto-generated interview note 104
105,106,20241130,PhoneScreen,105,Failed,74.73,74,Auto-generated interview note 105
106,107,20250510,HR,106,Passed,80.38,75,Auto-generated interview note 106
107,108,20230923,HR,107,Passed,69.06,76,Auto-generated interview note 107
108,109,20230403,Onsite,108,Passed,67.28,77,Auto-generated interview note 108
109,110,20230930,HR,109,Passed,50.97,78,Auto-generated interview note 109
110,111,20240803,Technical,110,Passed,83.61,79,Auto-generated interview note 110
111,112,20240505,Onsite,111,Passed,62.27,80,Auto-generated interview note 111
112,113,20241018,PhoneScreen,112,Passed,97.27,81,Auto-generated interview note 112
113,114,20230508,HR,113,Passed,66.07,82,Auto-generated interview note 113
114,115,20230916,Onsite,114,Passed,70.98,83,Auto-generated interview note 114
115,116,20240814,Technical,115,Failed,51.41,84,Auto-generated interview note 115
116,117,20240814,HR,116,NoShow,62.09,85,Auto-generated interview note 116
117,118,20241120,Onsite,117,Passed,51.71,86,Auto-generated interview note 117
118,119,20250701,HR,118,Passed,81.5,87,Auto-generated interview note 118
119,120,20250618,PhoneScreen,119,Passed,76.71,88,Auto-generated interview note 119
120,121,20240310,Technical,120,Failed,95.77,89,Auto-generated interview note 120
121,122,20240314,HR,121,Passed,50.74,90,Auto-generated interview note 121
122,123,20230824,HR,122,Passed,60.08,30,Auto-generated interview note 122
123,124,20241021,Onsite,123,Passed,98.16,31,Auto-generated interview note 123
124,125,20230429,HR,124,Passed,95.39,32,Auto-generated interview note 124
125,126,20250121,Technical,125,Failed,82.44,33,Auto-generated interview note 125
126,127,20230328,PhoneScreen,126,Passed,87.87,34,Auto-generated interview note 126
127,128,20240718,HR,127,Passed,73.36,35,Auto-generated interview note 127
128,129,20231016,HR,128,Passed,60.49,36,Auto-generated interview note 128
129,130,20230827,Onsite,129,Passed,60.31,37,Auto-generated interview note 129
130,131,20250101,Technical,130,Failed,58.96,38,Auto-generated interview note 130
131,132,20241107,HR,131,Passed,64.77,39,Auto-generated interview note 131
132,133,20240203,Onsite,132,Passed,72.67,40,Auto-generated interview note 132
133,134,20250813,PhoneScreen,133,Passed,87.88,41,Auto-generated interview note 133
134,135,20241229,HR,134,Passed,88.72,42,Auto-generated interview note 134
135,136,20240122,Technical,135,Failed,98.6,43,Auto-generated interview note 135
136,137,20240115,HR,136,Passed,51.98,44,Auto-generated interview note 136
137,138,20231004,HR,137,Passed,76.72,45,Auto-generated interview note 137
138,139,20250303,Onsite,138,Passed,82.75,46,Auto-generated interview note 138
139,140,20230904,HR,139,Passed,97.0,47,Auto-generated interview note 139
140,141,20250507,PhoneScreen,140,Failed,99.91,48,Auto-generated interview note 140
141,142,20230521,Onsite,141,Passed,90.73,49,Auto-generated interview note 141
142,143,20250403,HR,142,Passed,96.93,50,Auto-generated interview note 142
143,144,20241229,HR,143,Passed,97.35,51,Auto-generated interview note 143
144,145,20230409,Onsite,144,Passed,84.18,52,Auto-generated interview note 144
145,146,20240131,Technical,145,Failed,56.57,53,Auto-generated interview note 145
146,147,20230609,HR,146,Passed,99.98,54,Auto-generated interview note 146
147,148,20230323,PhoneScreen,147,Passed,77.42,55,Auto-generated interview note 147
148,149,20250117,HR,148,Passed,75.2,56,Auto-generated interview note 148
149,150,20240925,HR,149,Passed,65.05,57,Auto-generated interview note 149
150,151,20231122,Technical,150,Failed,97.72,58,Auto-generated interview note 150
151,152,20231225,HR,1,Passed,85.75,59,Auto-generated interview note 151
152,153,20241231,HR,2,Passed,90.55,60,Auto-generated interview note 152
153,154,20230401,Onsite,3,Passed,62.62,61,Auto-generated interview note 153
154,155,20250128,PhoneScreen,4,Passed,51.86,62,Auto-generated interview note 154
155,156,20241031,Technical,5,Failed,60.61,63,Auto-generated interview note 155
156,157,20241004,Onsite,6,Passed,93.87,64,Auto-generated interview note 156
157,158,20230507,HR,7,Passed,81.88,65,Auto-generated interview note 157
158,159,20231230,HR,8,Passed,85.48,66,Auto-generated interview note 158
159,160,20231012,Onsite,9,Passed,75.98,67,Auto-generated interview note 159
160,161,20241130,Technical,10,Failed,94.1,68,Auto-generated interview note 160
161,162,20230806,PhoneScreen,11,Passed,91.09,69,Auto-generated interview note 161
162,163,20240410,Onsite,12,Passed,90.13,70,Auto-generated interview note 162
163,164,20250502,HR,13,Passed,77.97,71,Auto-generated interview note 163
164,165,20250114,HR,14,Passed,99.12,72,Auto-generated interview note 164
165,166,20250624,Technical,15,Passed,65.55,73,Auto-generated interview note 165
166,167,20231219,HR,16,Passed,68.88,74,Auto-generated interview note 166
167,168,20240303,HR,17,Passed,68.22,75,Auto-generated interview note 167
168,169,20240217,PhoneScreen,18,Passed,52.72,76,Auto-generated interview note 168
169,170,20240512,HR,19,Passed,66.09,77,Auto-generated interview note 169
170,171,20250518,Technical,20,Failed,97.74,78,Auto-generated interview note 170
171,172,20240121,Onsite,21,Passed,64.18,79,Auto-generated interview note 171
172,173,20241222,HR,22,Passed,84.06,80,Auto-generated interview note 172
173,174,20250723,HR,23,Passed,86.72,81,Auto-generated interview note 173
174,175,20250629,Onsite,24,NoShow,71.69,82,Auto-generated interview note 174
175,176,20230616,PhoneScreen,25,Failed,84.51,83,Auto-generated interview note 175
176,177,20250329,HR,26,Passed,79.02,84,Auto-generated interview note 176
177,178,20231006,Onsite,27,Passed,88.05,85,Auto-generated interview note 177
178,179,20230919,HR,28,Passed,85.05,86,Auto-generated interview note 178
179,180,20240607,HR,29,Passed,57.72,87,Auto-generated interview note 179
180,181,20240809,Technical,30,Failed,65.84,88,Auto-generated interview note 180
181,182,20241031,HR,31,Passed,83.43,89,Auto-generated interview note 181
182,183,20240624,PhoneScreen,32,Passed,89.39,90,Auto-generated interview note 182
183,184,20230524,Onsite,33,Passed,63.39,30,Auto-generated interview note 183
184,185,20250528,HR,34,Passed,86.07,31,Auto-generated interview note 184
185,186,20230922,Technical,35,Failed,92.38,32,Auto-generated interview note 185
186,187,20240816,Onsite,36,Passed,94.17,33,Auto-generated interview note 186
187,188,20241007,HR,37,Passed,64.75,34,Auto-generated interview note 187
188,189,20250622,HR,38,Passed,73.04,35,Auto-generated interview note 188
189,190,20250310,PhoneScreen,39,Passed,63.8,36,Auto-generated interview note 189
190,191,20230713,Technical,40,Failed,67.3,37,Auto-generated interview note 190
191,192,20230924,HR,41,Passed,96.14,38,Auto-generated interview note 191
192,193,20250131,Onsite,42,Passed,59.41,39,Auto-generated interview note 192
193,194,20240420,HR,43,Passed,54.58,40,Auto-generated interview note 193
194,195,20230613,HR,44,Passed,76.3,41,Auto-generated interview note 194
195,196,20240316,Technical,45,Failed,50.15,42,Auto-generated interview note 195
196,197,20240320,PhoneScreen,46,Passed,91.87,43,Auto-generated interview note 196
197,198,20240901,HR,47,Passed,55.21,44,Auto-generated interview note 197
198,199,20250412,Onsite,48,Passed,91.97,45,Auto-generated interview note 198
199,200,20240915,HR,49,Passed,94.06,46,Auto-generated interview note 199
200,201,20230906,Technical,50,Failed,55.91,47,Auto-generated interview note 200
201,202,20250609,Onsite,51,Passed,86.8,48,Auto-generated interview note 201
202,203,20230412,HR,52,Passed,97.55,49,Auto-generated interview note 202
203,204,20240901,PhoneScreen,53,NoShow,94.86,50,Auto-generated interview note 203
204,205,20241110,Onsite,54,Passed,54.04,51,Auto-generated interview note 204
205,206,20230809,Technical,55,Failed,74.46,52,Auto-generated interview note 205
206,207,20250328,HR,56,Passed,57.62,53,Auto-generated interview note 206
207,208,20250403,Onsite,57,Passed,70.4,54,Auto-generated interview note 207
208,209,20241230,HR,58,Passed,75.83,55,Auto-generated interview note 208
209,210,20240121,HR,59,Passed,88.98,56,Auto-generated interview note 209
210,211,20250510,PhoneScreen,60,Failed,69.15,57,Auto-generated interview note 210
211,212,20240919,HR,61,Passed,90.07,58,Auto-generated interview note 211
212,213,20250803,HR,62,Passed,83.43,59,Auto-generated interview note 212
213,214,20240428,Onsite,63,Passed,88.36,60,Auto-generated interview note 213
214,215,20230715,HR,64,Passed,95.22,61,Auto-generated interview note 214
215,216,20241121,Technical,65,Failed,78.79,62,Auto-generated interview note 215
216,217,20250604,Onsite,66,Passed,64.83,63,Auto-generated interview note 216
217,218,20240510,PhoneScreen,67,Passed,87.2,64,Auto-generated interview note 217
218,219,20230605,HR,68,Passed,77.51,65,Auto-generated interview note 218
219,220,20231128,Onsite,69,Passed,82.8,66,Auto-generated interview note 219
220,221,20241129,Technical,70,Passed,93.65,67,Auto-generated interview note 220
221,222,20250623,HR,71,Passed,75.79,68,Auto-generated interview note 221
222,223,20230910,Onsite,72,Passed,57.43,69,Auto-generated interview note 222
223,224,20230626,HR,73,Passed,54.8,70,Auto-generated interview note 223
224,225,20230611,PhoneScreen,74,Passed,87.15,71,Auto-generated interview note 224
225,226,20230330,Technical,75,Failed,97.82,72,Auto-generated interview note 225
226,227,20250620,HR,76,Passed,93.45,73,Auto-generated interview note 226
227,228,20230331,HR,77,Passed,93.94,74,Auto-generated interview note 227
228,229,20240124,Onsite,78,Passed,56.86,75,Auto-generated interview note 228
229,230,20241119,HR,79,Passed,78.91,76,Auto-generated interview note 229
230,231,20240906,Technical,80,Failed,66.03,77,Auto-generated interview note 230
231,232,20250224,PhoneScreen,81,Passed,77.22,78,Auto-generated interview note 231
232,233,20230901,HR,82,NoShow,82.62,79,Auto-generated interview note 232
233,234,20231230,HR,83,Passed,71.01,80,Auto-generated interview note 233
234,235,20250215,Onsite,84,Passed,99.54,81,Auto-generated interview note 234
235,236,20231002,Technical,85,Failed,65.75,82,Auto-generated interview note 235
236,237,20230909,HR,86,Passed,96.36,83,Auto-generated interview note 236
237,238,20250319,Onsite,87,Passed,85.94,84,Auto-generated interview note 237
238,239,20250220,PhoneScreen,88,Passed,89.98,85,Auto-generated interview note 238
239,240,20231116,HR,89,Passed,61.66,86,Auto-generated interview note 239
240,241,20240116,Technical,90,Failed,51.12,87,Auto-generated interview note 240
241,242,20240625,HR,91,Passed,89.0,88,Auto-generated interview note 241
242,243,20250320,HR,92,Passed,50.58,89,Auto-generated interview note 242
243,244,20240211,Onsite,93,Passed,99.01,90,Auto-generated interview note 243
244,245,20250405,HR,94,Passed,73.75,30,Auto-generated interview note 244
245,246,20250615,PhoneScreen,95,Failed,97.91,31,Auto-generated interview note 245
246,247,20250828,Onsite,96,Passed,75.57,32,Auto-generated interview note 246
247,248,20250517,HR,97,Passed,76.3,33,Auto-generated interview note 247
248,249,20250108,HR,98,Passed,86.72,34,Auto-generated interview note 248
249,250,20230917,Onsite,99,Passed,68.81,35,Auto-generated interview note 249
250,251,20241004,Technical,100,Failed,77.65,36,Auto-generated interview note 250
251,252,20230515,HR,101,Passed,65.13,37,Auto-generated interview note 251
252,253,20250423,PhoneScreen,102,Passed,58.47,38,Auto-generated interview note 252
253,254,20240208,HR,103,Passed,76.1,39,Auto-generated interview note 253
254,255,20240809,HR,104,Passed,74.83,40,Auto-generated interview note 254
255,256,20230720,Technical,105,Failed,67.78,41,Auto-generated interview note 255
256,257,20250226,HR,106,Passed,71.77,42,Auto-generated interview note 256
257,258,20240826,HR,107,Passed,98.55,43,Auto-generated interview note 257
258,259,20250221,Onsite,108,Passed,57.09,44,Auto-generated interview note 258
259,260,20230702,PhoneScreen,109,Passed,92.28,45,Auto-generated interview note 259
260,261,20230828,Technical,110,Failed,76.05,46,Auto-generated interview note 260
261,262,20240619,Onsite,111,NoShow,80.12,47,Auto-generated interview note 261
262,263,20231229,HR,112,Passed,65.13,48,Auto-generated interview note 262
263,264,20240529,HR,113,Passed,94.4,49,Auto-generated interview note 263
264,265,20230906,Onsite,114,Passed,83.79,50,Auto-generated interview note 264
265,266,20240311,Technical,115,Failed,99.76,51,Auto-generated interview note 265
266,267,20250205,PhoneScreen,116,Passed,99.28,52,Auto-generated interview note 266
267,268,20240819,Onsite,117,Passed,64.74,53,Auto-generated interview note 267
268,269,20241005,HR,118,Passed,99.67,54,Auto-generated interview note 268
269,270,20250514,HR,119,Passed,64.92,55,Auto-generated interview note 269
270,271,20240810,Technical,120,Failed,56.54,56,Auto-generated interview note 270
271,272,20250228,HR,121,Passed,66.22,57,Auto-generated interview note 271
272,273,20240202,HR,122,Passed,66.26,58,Auto-generated interview note 272
273,274,20240505,PhoneScreen,123,Passed,68.85,59,Auto-generated interview note 273
274,275,20230418,HR,124,Passed,58.1,60,Auto-generated interview note 274
275,276,20230817,Technical,125,Passed,69.22,61,Auto-generated interview note 275
276,277,20250419,Onsite,126,Passed,81.38,62,Auto-generated interview note 276
277,278,20240520,HR,127,Passed,86.37,63,Auto-generated interview note 277
278,279,20240316,HR,128,Passed,87.59,64,Auto-generated interview note 278
279,280,20240309,Onsite,129,Passed,77.88,65,Auto-generated interview note 279
280,281,20240813,PhoneScreen,130,Failed,66.41,66,Auto-generated interview note 280
281,282,20250708,HR,131,Passed,68.25,67,Auto-generated interview note 281
282,283,20230518,Onsite,132,Passed,99.47,68,Auto-generated interview note 282
283,284,20250628,HR,133,Passed,78.24,69,Auto-generated interview note 283
284,285,20250424,HR,134,Passed,68.93,70,Auto-generated interview note 284
285,286,20230805,Technical,135,Failed,60.25,71,Auto-generated interview note 285
286,287,20230824,HR,136,Passed,87.12,72,Auto-generated interview note 286
287,288,20241222,PhoneScreen,137,Passed,87.02,73,Auto-generated interview note 287
288,289,20250729,Onsite,138,Passed,67.62,74,Auto-generated interview note 288
289,290,20240308,HR,139,Passed,84.4,75,Auto-generated interview note 289
290,291,20240308,Technical,140,Failed,78.63,76,Auto-generated interview note 290
291,292,20241102,Onsite,141,Passed,93.39,77,Auto-generated interview note 291
292,293,20250817,HR,142,Passed,67.34,78,Auto-generated interview note 292
293,294,20250207,HR,143,Passed,65.94,79,Auto-generated interview note 293
294,295,20230621,PhoneScreen,144,Passed,85.18,80,Auto-generated interview note 294
295,296,20230515,Technical,145,Failed,70.47,81,Auto-generated interview note 295
296,297,20240927,HR,146,Passed,59.49,82,Auto-generated interview note 296
297,298,20231010,Onsite,147,Passed,74.85,83,Auto-generated interview note 297
298,299,20250804,HR,148,Passed,90.01,84,Auto-generated interview note 298
299,300,20240419,HR,149,Passed,93.84,85,Auto-generated interview note 299
300,301,20250403,Technical,150,Failed,51.72,86,Auto-generated interview note 300
301,302,20231120,PhoneScreen,1,Passed,55.92,87,Auto-generated interview note 301
302,303,20241225,HR,2,Passed,55.11,88,Auto-generated interview note 302
303,304,20250220,Onsite,3,Passed,55.87,89,Auto-generated interview note 303
304,305,20240427,HR,4,Passed,56.47,90,Auto-generated interview note 304
305,306,20230805,Technical,5,Failed,80.44,30,Auto-generated interview note 305
306,307,20250529,Onsite,6,Passed,50.47,31,Auto-generated interview note 306
307,308,20240728,HR,7,Passed,55.77,32,Auto-generated interview note 307
308,309,20250607,PhoneScreen,8,Passed,95.05,33,Auto-generated interview note 308
309,310,20240829,Onsite,9,Passed,57.83,34,Auto-generated interview note 309
310,311,20240814,Technical,10,Failed,50.18,35,Auto-generated interview note 310
311,312,20230527,HR,11,Passed,74.45,36,Auto-generated interview note 311
312,313,20250721,Onsite,12,Passed,99.19,37,Auto-generated interview note 312
313,314,20240805,HR,13,Passed,70.51,38,Auto-generated interview note 313
314,315,20250416,HR,14,Passed,68.61,39,Auto-generated interview note 314
315,316,20230619,PhoneScreen,15,Failed,66.81,40,Auto-generated interview note 315
316,317,20240410,HR,16,Passed,84.81,41,Auto-generated interview note 316
317,318,20250531,HR,17,Passed,63.79,42,Auto-generated interview note 317
318,319,20250331,Onsite,18,Passed,53.97,43,Auto-generated interview note 318
319,320,20231205,HR,19,Passed,79.33,44,Auto-generated interview note 319
320,321,20250520,Technical,20,Failed,90.02,45,Auto-generated interview note 320
321,322,20241115,Onsite,21,Passed,71.88,46,Auto-generated interview note 321
322,323,20230919,PhoneScreen,22,Passed,63.87,47,Auto-generated interview note 322
323,324,20250904,HR,23,Passed,94.05,48,Auto-generated interview note 323
324,325,20250827,Onsite,24,Passed,54.22,49,Auto-generated interview note 324
325,326,20230628,Technical,25,Failed,89.96,50,Auto-generated interview note 325
326,327,20250612,HR,26,Passed,66.04,51,Auto-generated interview note 326
327,328,20250223,Onsite,27,Passed,52.23,52,Auto-generated interview note 327
328,329,20241117,HR,28,Passed,87.77,53,Auto-generated interview note 328
329,330,20250104,PhoneScreen,29,Passed,94.53,54,Auto-generated interview note 329
330,331,20230909,Technical,30,Passed,91.03,55,Auto-generated interview note 330
331,332,20231112,HR,31,Passed,91.03,56,Auto-generated interview note 331
332,333,20240629,HR,32,Passed,65.57,57,Auto-generated interview note 332
333,334,20250331,Onsite,33,Passed,87.14,58,Auto-generated interview note 333
334,335,20250308,HR,34,Passed,98.74,59,Auto-generated interview note 334
335,336,20250728,Technical,35,Failed,50.78,60,Auto-generated interview note 335
336,337,20240131,PhoneScreen,36,Passed,95.71,61,Auto-generated interview note 336
337,338,20250125,HR,37,Passed,70.19,62,Auto-generated interview note 337
338,339,20250319,HR,38,Passed,65.13,63,Auto-generated interview note 338
339,340,20240128,Onsite,39,Passed,68.57,64,Auto-generated interview note 339
340,341,20240205,Technical,40,Failed,97.79,65,Auto-generated interview note 340
341,342,20250617,HR,41,Passed,60.81,66,Auto-generated interview note 341
342,343,20241231,Onsite,42,Passed,98.78,67,Auto-generated interview note 342
343,344,20250131,PhoneScreen,43,Passed,81.15,68,Auto-generated interview note 343
344,345,20240304,HR,44,Passed,70.94,69,Auto-generated interview note 344
345,346,20250503,Technical,45,Failed,51.3,70,Auto-generated interview note 345
346,347,20250527,HR,46,Passed,65.72,71,Auto-generated interview note 346
347,348,20240311,HR,47,Passed,56.17,72,Auto-generated interview note 347
348,349,20240302,Onsite,48,NoShow,52.12,73,Auto-generated interview note 348
349,350,20240820,HR,49,Passed,60.09,74,Auto-generated interview note 349
350,351,20230620,PhoneScreen,50,Failed,96.7,75,Auto-generated interview note 350
351,352,20230814,Onsite,51,Passed,51.3,76,Auto-generated interview note 351
352,353,20241205,HR,52,Passed,57.97,77,Auto-generated interview note 352
353,354,20250906,HR,53,Passed,63.04,78,Auto-generated interview note 353
354,355,20240824,Onsite,54,Passed,81.15,79,Auto-generated interview note 354
355,356,20230817,Technical,55,Failed,83.22,80,Auto-generated interview note 355
356,357,20240626,HR,56,Passed,80.54,81,Auto-generated interview note 356
357,358,20240524,PhoneScreen,57,Passed,99.63,82,Auto-generated interview note 357
358,359,20250226,HR,58,Passed,79.0,83,Auto-generated interview note 358
359,360,20231112,HR,59,Passed,51.36,84,Auto-generated interview note 359
360,361,20230409,Technical,60,Failed,59.59,85,Auto-generated interview note 360
361,362,20240112,HR,61,Passed,61.2,86,Auto-generated interview note 361
362,363,20250524,HR,62,Passed,57.27,87,Auto-generated interview note 362
363,364,20250904,Onsite,63,Passed,67.98,88,Auto-generated interview note 363
364,365,20250624,PhoneScreen,64,Passed,76.8,89,Auto-generated interview note 364
365,366,20230327,Technical,65,Failed,94.02,90,Auto-generated interview note 365
366,367,20250517,Onsite,66,Passed,57.51,30,Auto-generated interview note 366
367,368,20231227,HR,67,Passed,54.03,31,Auto-generated interview note 367
368,369,20240611,HR,68,Passed,74.01,32,Auto-generated interview note 368
369,370,20231203,Onsite,69,Passed,86.69,33,Auto-generated interview note 369
370,371,20241019,Technical,70,Failed,93.11,34,Auto-generated interview note 370
371,372,20231012,PhoneScreen,71,Passed,93.9,35,Auto-generated interview note 371
372,373,20230323,Onsite,72,Passed,92.46,36,Auto-generated interview note 372
373,374,20240819,HR,73,Passed,85.95,37,Auto-generated interview note 373
374,375,20241013,HR,74,Passed,58.83,38,Auto-generated interview note 374
375,376,20241008,Technical,75,Failed,53.86,39,Auto-generated interview note 375
376,377,20240601,HR,76,Passed,90.17,40,Auto-generated interview note 376
377,378,20250429,HR,77,NoShow,89.67,41,Auto-generated interview note 377
378,379,20250420,PhoneScreen,78,Passed,63.36,42,Auto-generated interview note 378
379,380,20230808,HR,79,Passed,81.75,43,Auto-generated interview note 379
380,381,20240618,Technical,80,Failed,93.48,44,Auto-generated interview note 380
381,382,20241101,Onsite,81,Passed,60.47,45,Auto-generated interview note 381
