OfferKey,CandidateKey,OfferDateKey,RecruiterKey,PositionKey,OfferStatus,OfferedSalary,OfferNotes
75,76,20230923,25,36,Accepted,150075,Auto-generated offer 75
76,77,20230711,26,37,Pending,170076,Auto-generated offer 76
77,78,20240214,27,38,Expired,190077,Auto-generated offer 77
78,79,20230416,28,39,Accepted,210078,Auto-generated offer 78
79,80,20241224,29,40,Pending,30079,Auto-generated offer 79
80,81,20240318,30,1,Declined,50080,Auto-generated offer 80
81,82,20241010,31,2,Declined,70081,Auto-generated offer 81
82,83,20250829,32,3,Expired,90082,Auto-generated offer 82
83,84,20250122,33,4,Declined,110083,Auto-generated offer 83
84,85,20250402,34,5,Expired,130084,Auto-generated offer 84
85,86,20240403,35,6,Expired,150085,Auto-generated offer 85
86,87,20231231,36,7,Declined,170086,Auto-generated offer 86
87,88,20231009,37,8,Accepted,190087,Auto-generated offer 87
88,89,20250905,38,9,Pending,210088,Auto-generated offer 88
89,90,20250515,39,10,Pending,30089,Auto-generated offer 89
90,91,20250714,40,11,Accepted,50090,Auto-generated offer 90
91,92,20250514,41,12,Accepted,70091,Auto-generated offer 91
92,93,20240921,42,13,Accepted,90092,Auto-generated offer 92
93,94,20230615,43,14,Accepted,110093,Auto-generated offer 93
94,95,20241203,44,15,Declined,130094,Auto-generated offer 94
95,96,20241122,45,16,Expired,150095,Auto-generated offer 95
96,97,20250128,46,17,Expired,170096,Auto-generated offer 96
97,98,20240408,47,18,Accepted,190097,Auto-generated offer 97
98,99,20240922,48,19,Pending,210098,Auto-generated offer 98
99,100,20230601,49,20,Pending,30099,Auto-generated offer 99
100,101,20230909,50,21,Expired,50100,Auto-generated offer 100
101,102,20250527,1,22,Accepted,70101,Auto-generated offer 101
102,103,20230929,2,23,Accepted,90102,Auto-generated offer 102
103,104,20241017,3,24,Expired,110103,Auto-generated offer 103
104,105,20230926,4,25,Accepted,130104,Auto-generated offer 104
105,106,20231019,5,26,Pending,150105,Auto-generated offer 105
106,107,20240913,6,27,Pending,170106,Auto-generated offer 106
107,108,20230606,7,28,Pending,190107,Auto-generated offer 107
108,109,20231217,8,29,Accepted,210108,Auto-generated offer 108
109,110,20240416,9,30,Pending,30109,Auto-generated offer 109
110,111,20250303,10,31,Accepted,50110,Auto-generated offer 110
111,112,20250419,11,32,Expired,70111,Auto-generated offer 111
112,113,20231003,12,33,Accepted,90112,Auto-generated offer 112
113,114,20240603,13,34,Expired,110113,Auto-generated offer 113
114,115,20240914,14,35,Declined,130114,Auto-generated offer 114
115,116,20250822,15,36,Expired,150115,Auto-generated offer 115
116,117,20250805,16,37,Pending,170116,Auto-generated offer 116
117,118,20230702,17,38,Accepted,190117,Auto-generated offer 117
118,119,20250322,18,39,Expired,210118,Auto-generated offer 118
119,120,20230408,19,40,Declined,30119,Auto-generated offer 119
120,121,20250527,20,1,Pending,50120,Auto-generated offer 120
121,122,20250501,21,2,Expired,70121,Auto-generated offer 121
122,123,20250406,22,3,Expired,90122,Auto-generated offer 122
123,124,20240907,23,4,Accepted,110123,Auto-generated offer 123
124,125,20240411,24,5,Expired,130124,Auto-generated offer 124
125,126,20230501,25,6,Pending,150125,Auto-generated offer 125
126,127,20230911,26,7,Pending,170126,Auto-generated offer 126
127,128,20231216,27,8,Declined,190127,Auto-generated offer 127
128,129,20241124,28,9,Declined,210128,Auto-generated offer 128
129,130,20240721,29,10,Accepted,30129,Auto-generated offer 129
130,131,20250406,30,11,Accepted,50130,Auto-generated offer 130
131,132,20250129,31,12,Accepted,70131,Auto-generated offer 131
132,133,20240603,32,13,Expired,90132,Auto-generated offer 132
133,134,20231102,33,14,Pending,110133,Auto-generated offer 133
134,135,20240708,34,15,Pending,130134,Auto-generated offer 134
135,136,20250514,35,16,Declined,150135,Auto-generated offer 135
136,137,20240410,36,17,Accepted,170136,Auto-generated offer 136
137,138,20231227,37,18,Expired,190137,Auto-generated offer 137
138,139,20250302,38,19,Pending,210138,Auto-generated offer 138
139,140,20250817,39,20,Declined,30139,Auto-generated offer 139
140,141,20231107,40,21,Expired,50140,Auto-generated offer 140
141,142,20230723,41,22,Pending,70141,Auto-generated offer 141
142,143,20240816,42,23,Pending,90142,Auto-generated offer 142
143,144,20230614,43,24,Accepted,110143,Auto-generated offer 143
144,145,20230504,44,25,Pending,130144,Auto-generated offer 144
145,146,20240806,45,26,Declined,150145,Auto-generated offer 145
146,147,20250205,46,27,Expired,170146,Auto-generated offer 146
147,148,20250116,47,28,Declined,190147,Auto-generated offer 147
148,149,20240319,48,29,Accepted,210148,Auto-generated offer 148
149,150,20240707,49,30,Accepted,30149,Auto-generated offer 149
150,151,20250408,50,31,Declined,50150,Auto-generated offer 150
151,152,20230417,1,32,Expired,70151,Auto-generated offer 151
152,153,20250628,2,33,Accepted,90152,Auto-generated offer 152
153,154,20240912,3,34,Expired,110153,Auto-generated offer 153
154,155,20230424,4,35,Pending,130154,Auto-generated offer 154
155,156,20241020,5,36,Accepted,150155,Auto-generated offer 155
156,157,20250112,6,37,Accepted,170156,Auto-generated offer 156
157,158,20230623,7,38,Declined,190157,Auto-generated offer 157
158,159,20250216,8,39,Expired,210158,Auto-generated offer 158
159,160,20250815,9,40,Pending,30159,Auto-generated offer 159
160,161,20230617,10,1,Expired,50160,Auto-generated offer 160
161,162,20230516,11,2,Expired,70161,Auto-generated offer 161
162,163,20241123,12,3,Accepted,90162,Auto-generated offer 162
163,164,20250721,13,4,Pending,110163,Auto-generated offer 163
164,165,20241129,14,5,Accepted,130164,Auto-generated offer 164
165,166,20230701,15,6,Accepted,150165,Auto-generated offer 165
166,167,20230524,16,7,Accepted,170166,Auto-generated offer 166
167,168,20230820,17,8,Declined,190167,Auto-generated offer 167
168,169,20230327,18,9,Expired,210168,Auto-generated offer 168
169,170,20241201,19,10,Accepted,30169,Auto-generated offer 169
170,171,20240519,20,11,Accepted,50170,Auto-generated offer 170
171,172,20250610,21,12,Expired,70171,Auto-generated offer 171
172,173,20231122,22,13,Accepted,90172,Auto-generated offer 172
173,174,20230908,23,14,Accepted,110173,Auto-generated offer 173
174,175,20241025,24,15,Expired,130174,Auto-generated offer 174
175,176,20231108,25,16,Accepted,150175,Auto-generated offer 175
176,177,20230623,26,17,Accepted,170176,Auto-generated offer 176
177,178,20250604,27,18,Accepted,190177,Auto-generated offer 177
178,179,20241013,28,19,Expired,210178,Auto-generated offer 178
179,180,20250116,29,20,Pending,30179,Auto-generated offer 179
180,181,20231119,30,21,Expired,50180,Auto-generated offer 180
181,182,20241106,31,22,Accepted,70181,Auto-generated offer 181
182,183,20250306,32,23,Accepted,90182,Auto-generated offer 182
183,184,20230328,33,24,Accepted,110183,Auto-generated offer 183
184,185,20230505,34,25,Declined,130184,Auto-generated offer 184
185,186,20250225,35,26,Accepted,150185,Auto-generated offer 185
186,187,20240114,36,27,Expired,170186,Auto-generated offer 186
187,188,20230415,37,28,Declined,190187,Auto-generated offer 187
188,189,20250509,38,29,Expired,210188,Auto-generated offer 188
189,190,20240129,39,30,Pending,30189,Auto-generated offer 189
190,191,20240409,40,31,Declined,50190,Auto-generated offer 190
191,192,20230815,41,32,Expired,70191,Auto-generated offer 191
192,193,20241031,42,33,Expired,90192,Auto-generated offer 192
193,194,20240422,43,34,Pending,110193,Auto-generated offer 193
194,195,20241028,44,35,Accepted,130194,Auto-generated offer 194
195,196,20240906,45,36,Accepted,150195,Auto-generated offer 195
196,197,20240602,46,37,Expired,170196,Auto-generated offer 196
197,198,20250704,47,38,Pending,190197,Auto-generated offer 197
198,199,20240207,48,39,Expired,210198,Auto-generated offer 198
199,200,20250417,49,40,Accepted,30199,Auto-generated offer 199
200,201,20240713,50,1,Pending,50200,Auto-generated offer 200
201,202,20250618,1,2,Declined,70201,Auto-generated offer 201
202,203,20240511,2,3,Accepted,90202,Auto-generated offer 202
203,204,20250724,3,4,Pending,110203,Auto-generated offer 203
204,205,20250115,4,5,Expired,130204,Auto-generated offer 204
205,206,20240318,5,6,Declined,150205,Auto-generated offer 205
206,207,20250203,6,7,Pending,170206,Auto-generated offer 206
207,208,20250607,7,8,Accepted,190207,Auto-generated offer 207
208,209,20230723,8,9,Accepted,210208,Auto-generated offer 208
209,210,20231008,9,10,Declined,30209,Auto-generated offer 209
210,211,20250623,10,11,Accepted,50210,Auto-generated offer 210
211,212,20250415,11,12,Declined,70211,Auto-generated offer 211
212,213,20230609,12,13,Declined,90212,Auto-generated offer 212
213,214,20240622,13,14,Declined,110213,Auto-generated offer 213
214,215,20240108,14,15,Declined,130214,Auto-generated offer 214
215,216,20241001,15,16,Accepted,150215,Auto-generated offer 215
216,217,20240716,16,17,Declined,170216,Auto-generated offer 216
217,218,20250602,17,18,Pending,190217,Auto-generated offer 217
218,219,20250611,18,19,Expired,210218,Auto-generated offer 218
219,220,20230816,19,20,Accepted,30219,Auto-generated offer 219
220,221,20250429,20,21,Expired,50220,Auto-generated offer 220
221,222,20230701,21,22,Accepted,70221,Auto-generated offer 221
222,223,20241219,22,23,Accepted,90222,Auto-generated offer 222
223,224,20230725,23,24,Expired,110223,Auto-generated offer 223
224,225,20230713,24,25,Pending,130224,Auto-generated offer 224
225,226,20230829,25,26,Pending,150225,Auto-generated offer 225
226,227,20240510,26,27,Expired,170226,Auto-generated offer 226
227,228,20250206,27,28,Pending,190227,Auto-generated offer 227
228,229,20241101,28,29,Accepted,210228,Auto-generated offer 228
229,230,20240524,29,30,Declined,30229,Auto-generated offer 229
230,231,20241204,30,31,Expired,50230,Auto-generated offer 230
231,232,20240816,31,32,Accepted,70231,Auto-generated offer 231
232,233,20240707,32,33,Expired,90232,Auto-generated offer 232
233,234,20230926,33,34,Expired,110233,Auto-generated offer 233
234,235,20250629,34,35,Accepted,130234,Auto-generated offer 234
235,236,20241117,35,36,Declined,150235,Auto-generated offer 235
236,237,20230711,36,37,Declined,170236,Auto-generated offer 236
237,238,20240330,37,38,Pending,190237,Auto-generated offer 237
238,239,20231012,38,39,Pending,210238,Auto-generated offer 238
239,240,20250828,39,40,Expired,30239,Auto-generated offer 239
240,241,20250609,40,1,Pending,50240,Auto-generated offer 240
241,242,20230411,41,2,Expired,70241,Auto-generated offer 241
242,243,20250605,42,3,Expired,90242,Auto-generated offer 242
243,244,20250705,43,4,Accepted,110243,Auto-generated offer 243
244,245,20230927,44,5,Expired,130244,Auto-generated offer 244
245,246,20230430,45,6,Accepted,150245,Auto-generated offer 245
246,247,20250201,46,7,Pending,170246,Auto-generated offer 246
247,248,20250407,47,8,Accepted,190247,Auto-generated offer 247
248,249,20250421,48,9,Declined,210248,Auto-generated offer 248
249,250,20230909,49,10,Expired,30249,Auto-generated offer 249
250,251,20230713,50,11,Accepted,50250,Auto-generated offer 250
251,252,20240429,1,12,Pending,70251,Auto-generated offer 251
252,253,20250227,2,13,Accepted,90252,Auto-generated offer 252
253,254,20241009,3,14,Declined,110253,Auto-generated offer 253
254,255,20230609,4,15,Declined,130254,Auto-generated offer 254
255,256,20250716,5,16,Accepted,150255,Auto-generated offer 255
256,257,20250616,6,17,Declined,170256,Auto-generated offer 256
257,258,20240730,7,18,Pending,190257,Auto-generated offer 257
258,259,20231001,8,19,Expired,210258,Auto-generated offer 258
259,260,20230818,9,20,Expired,30259,Auto-generated offer 259
260,261,20240802,10,21,Accepted,50260,Auto-generated offer 260
261,262,20250731,11,22,Pending,70261,Auto-generated offer 261
262,263,20240307,12,23,Expired,90262,Auto-generated offer 262
263,264,20250221,13,24,Expired,110263,Auto-generated offer 263
264,265,20240216,14,25,Expired,130264,Auto-generated offer 264
265,266,20230524,15,26,Pending,150265,Auto-generated offer 265
266,267,20250817,16,27,Pending,170266,Auto-generated offer 266
267,268,20240707,17,28,Pending,190267,Auto-generated offer 267
268,269,20240731,18,29,Declined,210268,Auto-generated offer 268
269,270,20240922,19,30,Pending,30269,Auto-generated offer 269
270,271,20231021,20,31,Expired,50270,Auto-generated offer 270
271,272,20230909,21,32,Pending,70271,Auto-generated offer 271
272,273,20230425,22,33,Accepted,90272,Auto-generated offer 272
273,274,20241031,23,34,Accepted,110273,Auto-generated offer 273
274,275,20231015,24,35,Expired,130274,Auto-generated offer 274
275,276,20240521,25,36,Pending,150275,Auto-generated offer 275
276,277,20250725,26,37,Pending,170276,Auto-generated offer 276
277,278,20240616,27,38,Declined,190277,Auto-generated offer 277
278,279,20240226,28,39,Expired,210278,Auto-generated offer 278
279,280,20240324,29,40,Expired,30279,Auto-generated offer 279
280,281,20240122,30,1,Declined,50280,Auto-generated offer 280
281,282,20240424,31,2,Expired,70281,Auto-generated offer 281
282,283,20230419,32,3,Pending,90282,Auto-generated offer 282
283,284,20250401,33,4,Pending,110283,Auto-generated offer 283
284,285,20230918,34,5,Declined,130284,Auto-generated offer 284
285,286,20250516,35,6,Accepted,150285,Auto-generated offer 285
286,287,20250824,36,7,Accepted,170286,Auto-generated offer 286
287,288,20240130,37,8,Declined,190287,Auto-generated offer 287
288,289,20240507,38,9,Accepted,210288,Auto-generated offer 288
289,290,20250524,39,10,Expired,30289,Auto-generated offer 289
290,291,20240209,40,11,Accepted,50290,Auto-generated offer 290
291,292,20250331,41,12,Declined,70291,Auto-generated offer 291
292,293,20240101,42,13,Accepted,90292,Auto-generated offer 292
293,294,20230729,43,14,Accepted,110293,Auto-generated offer 293
294,295,20230812,44,15,Expired,130294,Auto-generated offer 294
295,296,20230420,45,16,Pending,150295,Auto-generated offer 295
296,297,20241226,46,17,Pending,170296,Auto-generated offer 296
297,298,20241111,47,18,Pending,190297,Auto-generated offer 297
298,299,20250510,48,19,Pending,210298,Auto-generated offer 298
299,300,20240919,49,20,Accepted,30299,Auto-generated offer 299
300,301,20250415,50,21,Pending,50300,Auto-generated offer 300
301,302,20241008,1,22,Declined,70301,Auto-generated offer 301
302,303,20230426,2,23,Declined,90302,Auto-generated offer 302
303,304,20240331,3,24,Accepted,110303,Auto-generated offer 303
304,305,20240612,4,25,Pending,130304,Auto-generated offer 304
305,306,20240418,5,26,Declined,150305,Auto-generated offer 305
306,307,20230922,6,27,Expired,170306,Auto-generated offer 306
307,308,20230902,7,28,Declined,190307,Auto-generated offer 307
308,309,20230627,8,29,Pending,210308,Auto-generated offer 308
309,310,20240328,9,30,Accepted,30309,Auto-generated offer 309
310,311,20250720,10,31,Accepted,50310,Auto-generated offer 310
311,312,20240417,11,32,Expired,70311,Auto-generated offer 311
312,313,20231115,12,33,Accepted,90312,Auto-generated offer 312
313,314,20250527,13,34,Declined,110313,Auto-generated offer 313
314,315,20250309,14,35,Pending,130314,Auto-generated offer 314
315,316,20230913,15,36,Accepted,150315,Auto-generated offer 315
316,317,20231126,16,37,Expired,170316,Auto-generated offer 316
317,318,20240227,17,38,Pending,190317,Auto-generated offer 317
318,319,20240320,18,39,Pending,210318,Auto-generated offer 318
319,320,20240816,19,40,Declined,30319,Auto-generated offer 319
320,321,20230525,20,1,Accepted,50320,Auto-generated offer 320
321,322,20240308,21,2,Pending,70321,Auto-generated offer 321
322,323,20250706,22,3,Declined,90322,Auto-generated offer 322
323,324,20240130,23,4,Accepted,110323,Auto-generated offer 323
324,325,20250601,24,5,Pending,130324,Auto-generated offer 324
325,326,20230917,25,6,Accepted,150325,Auto-generated offer 325
326,327,20230403,26,7,Declined,170326,Auto-generated offer 326
327,328,20250622,27,8,Declined,190327,Auto-generated offer 327
328,329,20240119,28,9,Declined,210328,Auto-generated offer 328
329,330,20241023,29,10,Declined,30329,Auto-generated offer 329
330,331,20231101,30,11,Accepted,50330,Auto-generated offer 330
331,332,20231103,31,12,Expired,70331,Auto-generated offer 331
332,333,20250613,32,13,Declined,90332,Auto-generated offer 332
333,334,20230611,33,14,Expired,110333,Auto-generated offer 333
334,335,20250828,34,15,Pending,130334,Auto-generated offer 334
335,336,20240309,35,16,Accepted,150335,Auto-generated offer 335
336,337,20241116,36,17,Declined,170336,Auto-generated offer 336
337,338,20240914,37,18,Accepted,190337,Auto-generated offer 337
338,339,20231110,38,19,Accepted,210338,Auto-generated offer 338
339,340,20230423,39,20,Declined,30339,Auto-generated offer 339
340,341,20240124,40,21,Expired,50340,Auto-generated offer 340
341,342,20230902,41,22,Declined,70341,Auto-generated offer 341
342,343,20240315,42,23,Declined,90342,Auto-generated offer 342
343,344,20250321,43,24,Pending,110343,Auto-generated offer 343
344,345,20250411,44,25,Declined,130344,Auto-generated offer 344
345,346,20230512,45,26,Expired,150345,Auto-generated offer 345
346,347,20230807,46,27,Expired,170346,Auto-generated offer 346
347,348,20230916,47,28,Accepted,190347,Auto-generated offer 347
348,349,20240805,48,29,Declined,210348,Auto-generated offer 348
349,350,20230703,49,30,Expired,30349,Auto-generated offer 349
350,351,20250813,50,31,Expired,50350,Auto-generated offer 350
351,352,20231117,1,32,Accepted,70351,Auto-generated offer 351
352,353,20240505,2,33,Expired,90352,Auto-generated offer 352
353,354,20230330,3,34,Expired,110353,Auto-generated offer 353
354,355,20240813,4,35,Pending,130354,Auto-generated offer 354
355,356,20231208,5,36,Accepted,150355,Auto-generated offer 355
356,357,20240314,6,37,Expired,170356,Auto-generated offer 356
357,358,20250526,7,38,Pending,190357,Auto-generated offer 357
358,359,20240102,8,39,Declined,210358,Auto-generated offer 358
359,360,20250729,9,40,Declined,30359,Auto-generated offer 359
360,361,20250319,10,1,Expired,50360,Auto-generated offer 360
361,362,20250416,11,2,Accepted,70361,Auto-generated offer 361
362,363,20250402,12,3,Declined,90362,Auto-generated offer 362
363,364,20240831,13,4,Declined,110363,Auto-generated offer 363
364,365,20250206,14,5,Accepted,130364,Auto-generated offer 364
365,366,20230820,15,6,Declined,150365,Auto-generated offer 365
366,367,20241011,16,7,Expired,170366,Auto-generated offer 366
367,368,20250417,17,8,Pending,190367,Auto-generated offer 367
368,369,20250122,18,9,Pending,210368,Auto-generated offer 368
369,370,20240506,19,10,Declined,30369,Auto-generated offer 369
370,371,20241128,20,11,Declined,50370,Auto-generated offer 370
371,372,20250329,21,12,Accepted,70371,Auto-generated offer 371
372,373,20230627,22,13,Expired,90372,Auto-generated offer 372
373,374,20230430,23,14,Accepted,110373,Auto-generated offer 373
374,375,20230629,24,15,Pending,130374,Auto-generated offer 374
375,376,20250120,25,16,Accepted,150375,Auto-generated offer 375
376,377,20240427,26,17,Accepted,170376,Auto-generated offer 376
377,378,20240903,27,18,Accepted,190377,Auto-generated offer 377
378,379,20240201,28,19,Expired,210378,Auto-generated offer 378
379,380,20230427,29,20,Accepted,30379,Auto-generated offer 379
380,381,20240210,30,21,Pending,50380,Auto-generated offer 380
381,382,20250826,31,22,Pending,70381,Auto-generated offer 381
382,383,20250308,32,23,Accepted,90382,Auto-generated offer 382
383,384,20240128,33,24,Pending,110383,Auto-generated offer 383
384,385,20241212,34,25,Declined,130384,Auto-generated offer 384
385,386,20250322,35,26,Accepted,150385,Auto-generated offer 385
386,387,20231205,36,27,Pending,170386,Auto-generated offer 386
387,388,20241118,37,28,Declined,190387,Auto-generated offer 387
388,389,20240410,38,29,Pending,210388,Auto-generated offer 388
389,390,20250406,39,30,Expired,30389,Auto-generated offer 389
390,391,20241119,40,31,Accepted,50390,Auto-generated offer 390
391,392,20241002,41,32,Accepted,70391,Auto-generated offer 391
392,393,20250614,42,33,Pending,90392,Auto-generated offer 392
393,394,20231220,43,34,Pending,110393,Auto-generated offer 393
394,395,20250112,44,35,Declined,130394,Auto-generated offer 394
395,396,20240120,45,36,Declined,150395,Auto-generated offer 395
396,397,20241223,46,37,Declined,170396,Auto-generated offer 396
397,398,20231107,47,38,Expired,190397,Auto-generated offer 397
398,399,20250618,48,39,Accepted,210398,Auto-generated offer 398
399,400,20230915,49,40,Declined,30399,Auto-generated offer 399
400,401,20250119,50,1,Declined,50400,Auto-generated offer 400
401,402,20250107,1,2,Pending,70401,Auto-generated offer 401
402,403,20231107,2,3,Pending,90402,Auto-generated offer 402
403,404,20230329,3,4,Accepted,110403,Auto-generated offer 403
404,405,20230510,4,5,Expired,130404,Auto-generated offer 404
405,406,20240123,5,6,Pending,150405,Auto-generated offer 405
406,407,20250702,6,7,Pending,170406,Auto-generated offer 406
407,408,20240723,7,8,Pending,190407,Auto-generated offer 407
408,409,20241015,8,9,Pending,210408,Auto-generated offer 408
409,410,20240130,9,10,Accepted,30409,Auto-generated offer 409
410,411,20250129,10,11,Accepted,50410,Auto-generated offer 410
411,412,20240410,11,12,Declined,70411,Auto-generated offer 411
412,413,20250228,12,13,Accepted,90412,Auto-generated offer 412
413,414,20240413,13,14,Accepted,110413,Auto-generated offer 413
414,415,20250111,14,15,Declined,130414,Auto-generated offer 414
415,416,20231205,15,16,Accepted,150415,Auto-generated offer 415
416,417,20240731,16,17,Accepted,170416,Auto-generated offer 416
417,418,20230420,17,18,Accepted,190417,Auto-generated offer 417
418,419,20230807,18,19,Expired,210418,Auto-generated offer 418
419,420,20240624,19,20,Declined,30419,Auto-generated offer 419
420,421,20241121,20,21,Pending,50420,Auto-generated offer 420
421,422,20230706,21,22,Declined,70421,Auto-generated offer 421
422,423,20240228,22,23,Accepted,90422,Auto-generated offer 422
423,424,20240208,23,24,Accepted,110423,Auto-generated offer 423
424,425,20240910,24,25,Expired,130424,Auto-generated offer 424
425,426,20230929,25,26,Accepted,150425,Auto-generated offer 425
426,427,20241126,26,27,Expired,170426,Auto-generated offer 426
427,428,20230505,27,28,Declined,190427,Auto-generated offer 427
428,429,20250618,28,29,Expired,210428,Auto-generated offer 428
429,430,20231223,29,30,Accepted,30429,Auto-generated offer 429
430,431,20230419,30,31,Pending,50430,Auto-generated offer 430
431,432,20241217,31,32,Expired,70431,Auto-generated offer 431
432,433,20250202,32,33,Declined,90432,Auto-generated offer 432
433,434,20240413,33,34,Declined,110433,Auto-generated offer 433
434,435,20240120,34,35,Pending,130434,Auto-generated offer 434
435,436,20230509,35,36,Pending,150435,Auto-generated offer 435
436,437,20231111,36,37,Pending,170436,Auto-generated offer 436
437,438,20230424,37,38,Accepted,190437,Auto-generated offer 437
438,439,20250412,38,39,Declined,210438,Auto-generated offer 438
439,440,20241010,39,40,Pending,30439,Auto-generated offer 439
440,441,20240912,40,1,Pending,50440,Auto-generated offer 440
441,442,20240327,41,2,Declined,70441,Auto-generated offer 441
442,443,20241023,42,3,Accepted,90442,Auto-generated offer 442
443,444,20250525,43,4,Declined,110443,Auto-generated offer 443
444,445,20241127,44,5,Expired,130444,Auto-generated offer 444
445,446,20250323,45,6,Pending,150445,Auto-generated offer 445
446,447,20240310,46,7,Pending,170446,Auto-generated offer 446
447,448,20250408,47,8,Accepted,190447,Auto-generated offer 447
448,449,20250404,48,9,Pending,210448,Auto-generated offer 448
449,450,20241009,49,10,Declined,30449,Auto-generated offer 449
450,451,20250504,50,11,Expired,50450,Auto-generated offer 450
451,452,20230523,1,12,Declined,70451,Auto-generated offer 451
452,453,20230409,2,13,Expired,90452,Auto-generated offer 452
453,454,20230613,3,14,Declined,110453,Auto-generated offer 453
454,455,20240520,4,15,Declined,130454,Auto-generated offer 454
455,456,20241019,5,16,Accepted,150455,Auto-generated offer 455
456,457,20230714,6,17,Expired,170456,Auto-generated offer 456
457,458,20240530,7,18,Declined,190457,Auto-generated offer 457
458,459,20250812,8,19,Pending,210458,Auto-generated offer 458
